*本資料庫所列數值單位均為每100 g可食部分之含量。,,,,,,,,,,,
整合編號,食品分類,樣品名稱,內容物描述,俗名,廢棄率(%),熱量(kcal),粗蛋白(g),粗脂肪(g),飽和脂肪(g),總碳水化合物(g),反式脂肪(mg)
A0100101,穀物類,大麥仁,"樣品狀態:生,已去殼; 前處理描述:混合均勻磨碎","小薏仁,洋薏仁,珍珠薏仁",0,365,8.6,1.6,0.5,77.1,0
A0110101,穀物類,大麥片,樣品狀態:生; 前處理描述:混合均勻打碎,,,365,8.6,1.8,0.5,76.7,
A0120101,穀物類,大麥仁粉,樣品狀態:烘烤過; 前處理描述:混合均勻,"小薏仁粉,洋薏仁粉,珍珠薏仁粉",,389,7.1,1.3,0.4,85,
A0200101,穀物類,小米,"樣品狀態:生,已去殼; 前處理描述:混合均勻磨碎",,,370,11.3,3.7,0.4,71.7,
A0200201,穀物類,糯小米,樣品狀態:生; 前處理描述:混合均勻磨碎,,,360,12.5,1.5,0.3,72.5,
A0300101,穀物類,小麥,"樣品狀態:生,已去殼; 前處理描述:混合均勻磨碎",,,362,14.1,2.6,0.5,69.2,
A0310101,穀物類,小麥胚芽,樣品狀態:生; 前處理描述:混合均勻打碎,,,417,31.4,11.6,1.7,47.9,
A0320101,穀物類,去筋麵粉,前處理描述:混合均勻,澄粉,,355,0.2,0.1,0,85.7,
A0320202,穀物類,低筋麵粉,前處理描述:混合均勻,,,364,8.1,1.2,0.2,78.2,
A0320301,穀物類,中筋麵粉,前處理描述:混合均勻,,,361,11.5,1.3,0.3,74.1,
A0320404,穀物類,高筋麵粉,前處理描述:混合均勻,,,362,12.9,1.2,0.3,73.1,
A0320405,穀物類,高筋麵粉(2021年取樣),前處理描述:混合均勻,強力粉,0,362,13.8,1.3,0.5,72.2,0
A0320505,穀物類,全麥麵粉,"前處理描述:混合均勻(高筋麵粉,麩皮等)",,,359,13,1.7,0.3,71.4,
A0320601,穀物類,雜糧中筋麵粉,"前處理描述:混合均勻(中筋麵粉,全麥麵粉,裸麥,小黑麥,燕麥,玉米,大豆,糙米,小米,亞麻籽等)",,,361,13.1,2.3,0.6,72,
A0320702,穀物類,雜糧高筋麵粉,"前處理描述:混合均勻(高筋麵粉,麩皮,葵花籽,燕麥,玉米,大麥,米粉,小米,亞麻籽,蕎麥,香菜籽等)",,,360,14.3,2.8,0.8,69.6,
A0400101,穀物類,白玉米,"樣品狀態:生; 前處理描述:取玉米粒,混合均均打碎",,,66,3.4,0.6,,11.5,
A0400201,穀物類,紫玉米,"樣品狀態:生; 前處理描述:取玉米粒,混合均勻打碎",,47,168,4.5,1,0.3,34.4,
A0400301,穀物類,甜玉米,"樣品狀態:生; 前處理描述:取玉米粒,混合均勻打碎","玉米,黃玉米",39,107,3.3,2.5,0.7,17.8,
A0400401,穀物類,雙色水果玉米,"樣品狀態:生(黃白雙色品種); 前處理描述:取玉米粒,混合均勻打碎","玉米,黃玉米",39,105,3.1,2.6,0.7,17.5,
A0400501,穀物類,糯玉米,"樣品狀態:生,每根均混有紫皮與黃皮(已去部分外葉); 前處理描述:取玉米粒混合均勻打碎",,32,172,4.7,1.9,0.5,33.4,
A0400601,穀物類,冷凍玉米粒,樣品狀態:冷凍製品; 前處理描述:混合均勻打碎,,,174,3.1,8.2,,22.5,
A0410101,穀物類,乾玉米粒,樣品狀態:乾貨; 前處理描述:混合均勻磨碎,,,373,10.9,3.9,0.6,72.2,
A0410201,穀物類,玉米胚芽,樣品狀態:生; 前處理描述:混合均勻打碎,"玉米仁,珍珠米",,366,7,0.9,0.1,80.3,
A0420101,穀物類,玉米粉,前處理描述:混合均勻,,,369,0.3,0.4,0.1,88.3,
A05001,穀物類,秈米平均值,樣品狀態:生; 前處理描述:混合均勻磨碎,"在來米,長米",,357,7.8,0.9,0.4,77.4,
A0500101,穀物類,秈米(台中在來2號),"樣品狀態:生,白秈米; 前處理描述:混合均勻磨碎","在來米,長米",,355,8.2,1,,76.3,
A0500102,穀物類,秈米(台中秈10號),"樣品狀態:生,白秈米; 前處理描述:混合均勻磨碎","在來米,長米",,358,7.4,0.7,0.3,78.5,
A0500103,穀物類,秈米(台中秈10號)(2024年取樣),"樣品狀態:生,白秈米; 前處理描述:混合均勻磨碎","在來米,長米",0,357,6.1,0.6,0.2,79.8,0
A05002,穀物類,稉米平均值,樣品狀態:生; 前處理描述:混合均勻磨碎,"蓬萊米,圓米",,354,7,0.7,0.2,77.8,
A0500201,穀物類,稉米(台中189號),"樣品狀態:生,白稉米; 前處理描述:混合均勻磨碎","蓬萊米,圓米",,356,7.5,0.6,0.1,78.1,
A0500202,穀物類,稉米(台南11號),"樣品狀態:生,白稉米; 前處理描述:混合均勻磨碎","蓬萊米,圓米",,348,6.7,0.5,0.2,77.2,
A0500203,穀物類,稉米(台稉2號),"樣品狀態:生,白稉米; 前處理描述:混合均勻磨碎","蓬萊米,圓米",,357,7.2,0.5,0.1,78.7,
A0500204,穀物類,稉米(台稉8號),"樣品狀態:生,白稉米; 前處理描述:混合均勻磨碎","蓬萊米,圓米",,355,6.9,0.4,0.1,78.8,
A0500205,穀物類,稉米(台稉9號),"樣品狀態:生,白稉米; 前處理描述:混合均勻磨碎","蓬萊米,圓米",,353,6.6,0.6,0.2,78.2,
A0500206,穀物類,稉米(台農71號),"樣品狀態:生,白稉米; 前處理描述:混合均勻磨碎","蓬萊米,圓米,益全香米",,357,7.9,0.6,0.2,77.8,
A0500207,穀物類,稉米(高雄139號),"樣品狀態:生,白稉米; 前處理描述:混合均勻磨碎","蓬萊米,圓米",,357,6.1,1.2,0.3,78.5,
